region,sales,quantity,price
North,369.9,4,90.93
West,316.98,5,60.68
South,185.17,3,61.92
East,423.82,8,52.6
West,113.32,1,106.76
South,278.11,6,46.84
South,161.05,3,51.68
North,400.31,6,65.67
East,273.58,4,65.86
South,335.5,6,57.0
East,324.81,5,64.87
West,626.88,10,62.83
South,377.94,6,60.88
South,117.57,2,52.83
East,142.77,3,44.88
West,793.62,6,133.01
East,583.27,7,83.57
East,121.06,2,54.7
West,265.94,2,135.54
East,381.92,5,74.03
East,541.96,6,89.62
North,226.86,3,77.45
East,161.34,3,56.63
West,224.21,3,76.75
South,136.02,2,65.09
West,3024.35,10,301.06
North,483.97,5,95.41
West,472.03,6,79.91
West,166.44,2,84.49
East,465.51,6,76.39
East,713.19,8,89.81
North,1125.02,6,188.29
East,136.72,2,65.23
East,424.73,5,83.83
West,118.17,2,63.84
South,191.32,4,48.75
South,233.03,6,39.25
South,186.95,3,59.81
West,1179.95,9,131.89
East,190.69,4,45.31
South,218.75,3,73.79
East,261.3,4,64.82
East,92.16,2,40.64
South,28.59,1,36.71
South,439.04,6,70.72
East,138.27,2,63.21
North,438.12,6,71.61
East,390.86,3,130.88
North,314.25,3,107.31
South,154.33,4,38.23
South,250.42,4,61.05
South,225.08,6,35.09
South,177.57,5,34.67
West,665.02,6,108.91
North,189.48,2,93.64
North,74.3,1,76.44
South,367.19,6,60.51
North,277.78,3,90.19
West,385.11,4,94.63
West,652.33,9,71.89
East,705.5,8,86.72
East,255.27,4,64.58
West,724.15,7,104.04
West,995.26,8,124.1
East,89.34,1,89.03
West,134.1,2,60.01
West,1187.68,9,131.21
North,82.91,1,71.8
East,626.04,8,78.37
West,934.62,7,132.99
West,216.08,3,68.51
South,139.92,3,48.41
North,289.04,4,73.57
East,88.8,1,77.86
West,978.89,8,121.77
West,128.32,1,137.11
North,410.85,4,100.33
North,176.23,2,91.51
West,647.86,6,108.04
North,734.6,7,104.95
East,169.19,3,54.71
North,576.7,7,80.74
South,427.84,6,72.1
South,373.16,6,60.9
North,301.41,5,60.67
East,474.45,8,57.61
South,312.88,5,60.34
South,44.85,1,53.52
East,167.13,3,53.35
East,219.03,5,43.1
West,970.59,10,96.21
North,475.47,5,94.54
South,381.14,6,61.33
West,810.59,6,136.54
South,169.35,4,39.14
South,300.78,5,59.14
South,234.76,3,73.39
East,176.95,2,88.12
West,694.24,10,70.41
West,133.07,1,135.0
East,437.42,5,86.62
West,750.24,6,122.72
West,372.13,3,122.9
East,202.52,4,51.06
East,710.75,8,87.52
North,299.19,6,50.53
West,541.02,4,133.49
East,175.11,2,85.8
East,516.14,6,85.57
West,326.9,4,83.71
East,83.85,1,88.58
West,534.49,7,77.05
South,423.4,6,69.54
North,683.93,3,230.58
East,155.11,2,79.71
East,406.22,7,59.4
South,316.0,6,54.07
South,34.62,1,32.05
East,161.75,2,74.29
West,129.11,1,125.77
East,291.35,5,59.55
South,440.77,6,71.14
East,241.35,3,83.74
West,214.65,2,102.97
North,293.81,4,70.63
East,240.53,5,49.2
South,345.49,5,68.35
East,91.25,2,43.37
North,421.08,6,71.43
West,790.27,6,132.01
South,121.53,2,61.21
East,71.06,1,61.42
South,169.88,3,58.84
South,287.37,4,69.5
West,684.12,10,68.71
South,152.38,2,70.11
East,49.56,1,43.77
South,271.17,5,56.05
East,671.32,8,84.7
West,1310.47,10,131.32
West,696.07,7,100.83
East,258.11,3,88.2
East,207.05,3,68.32
West,616.69,8,77.51
East,453.53,6,73.43
North,321.93,6,52.39
West,636.1,5,126.37
West,913.69,10,90.28
West,359.26,4,90.11
North,307.0,4,79.21
North,707.76,4,178.5
East,140.57,2,70.1
East,370.13,8,45.67
West,1244.67,6,208.55
West,1207.77,5,240.97
West,145.74,1,137.54
South,160.08,2,72.63
North,415.18,7,60.23
West,1210.61,10,121.4
South,173.4,4,45.42
West,82.07,1,70.58
West,275.18,3,93.58
North,610.74,7,85.99
East,82.34,1,72.97
West,618.0,6,101.76
West,1080.09,8,135.07
West,1186.45,10,119.31
West,169.12,2,78.6
West,68.07,1,75.12
East,429.04,6,72.73
West,534.74,5,106.83
West,574.61,7,82.04
South,157.22,3,51.71
North,601.01,7,84.66
North,546.94,6,89.56
North,278.56,5,56.02
West,129.87,1,115.76
East,138.66,3,44.55
East,309.84,6,53.15
West,1384.76,10,138.76
North,380.16,7,53.45
West,676.1,9,76.14
West,411.93,4,101.27
West,334.1,3,112.4
West,797.93,7,113.57
South,41.24,1,33.09
West,636.69,6,106.63
West,525.45,7,75.56
West,135.54,2,68.52
East,338.63,5,65.66
West,818.03,7,115.54
South,305.45,4,73.26
North,923.87,5,183.39
East,324.98,6,55.79
South,49.89,1,41.17
East,202.03,3,67.73
North,409.59,6,66.14
West,299.05,4,75.97
East,307.55,6,52.48
North,533.47,6,90.55
North,757.88,7,107.48
West,1390.57,10,138.83
North,323.63,3,104.96
East,467.55,7,66.29
West,267.51,3,91.5
West,300.62,2,151.24
West,723.76,9,80.78
North,136.44,2,70.59
South,181.5,4,46.75
East,283.18,4,68.79
South,229.96,4,54.99
South,53.77,1,51.28
North,502.69,5,100.96
West,1556.54,12,130.42
South,317.25,6,51.44
East,290.39,5,58.02
West,1148.1,10,114.37
West,376.63,5,73.96
West,235.0,2,118.92
West,227.98,3,71.59
West,754.64,7,108.98
East,316.22,6,51.41
West,746.59,8,91.64
South,208.36,4,53.44
East,389.47,5,76.39
East,110.12,2,48.35
West,465.07,7,64.31
East,153.96,2,70.91
East,255.01,5,52.37
West,85.16,1,73.65
East,312.43,5,63.81
North,417.58,5,82.36
West,949.42,9,105.12
North,158.85,2,78.9
West,1231.58,7,176.14
West,487.29,8,60.67
East,317.52,5,61.52
West,672.06,9,75.09
South,228.26,4,59.07
West,1020.42,10,101.33
East,397.09,5,77.15
East,432.64,8,54.48
West,89.26,1,75.02
East,450.98,5,88.62
South,430.63,6,72.14
South,290.43,4,74.91
East,781.46,4,194.47
East,434.61,5,84.78
East,328.01,4,78.41
East,368.19,4,89.73
West,1122.59,8,138.57
North,1128.93,7,161.8
West,71.34,1,75.9
East,1270.12,7,181.46
East,701.39,8,88.44
South,170.23,4,41.19
North,1731.37,8,215.48
South,75.28,2,35.66
West,692.85,8,87.79
West,591.88,5,117.95
West,663.31,8,83.58
East,388.07,5,76.62
North,295.49,5,59.62
East,61.01,1,58.36
South,358.05,5,69.73
East,539.43,7,76.05
South,116.84,3,36.94
East,731.44,4,179.9
East,906.57,6,150.02
West,1235.15,6,207.47
North,1815.42,8,227.05
South,201.67,3,70.07
West,196.59,2,102.32
East,135.23,2,65.97
East,278.93,4,66.31
West,213.71,2,104.65
South,240.61,4,61.61
East,363.83,6,60.08
West,823.0,6,134.68
South,299.51,6,48.56
West,423.96,4,105.05
South,184.73,4,46.2
South,985.28,8,124.39
North,982.16,6,161.53
West,1047.44,10,105.65
West,422.67,6,71.07
East,380.58,7,55.02
East,460.48,8,56.23
South,53.44,1,55.93
South,68.98,1,55.93
East,599.63,7,83.99
North,394.82,6,63.6
West,101.61,1,110.58
West,641.56,9,71.97
South,303.9,4,74.88
East,429.6,7,61.6
West,1068.8,9,119.63
West,367.75,3,121.91
East,254.01,4,59.77
West,395.04,5,79.39
North,331.41,6,55.38
East,51.46,1,57.23
East,649.65,8,81.08
North,393.0,6,64.01
North,62.27,1,56.74
East,1173.93,6,196.05
West,782.61,9,86.55
South,267.03,5,54.7
South,157.32,5,30.83
East,177.49,4,43.01
East,697.81,4,171.55
East,583.11,7,83.37
North,172.87,3,55.98
East,407.33,8,49.94
East,430.38,5,86.11
East,341.6,6,57.34
North,331.8,3,108.72
North,737.54,7,103.42
North,197.01,3,63.53
East,240.76,4,59.11
West,853.46,10,84.99
East,185.44,4,46.93
South,119.87,2,53.57
South,295.59,5,59.53
West,282.77,2,135.89
East,249.17,6,41.47
West,471.9,5,95.44
East,211.86,5,41.31
West,85.67,1,78.47
West,1008.14,10,100.19
East,469.79,8,59.37
East,91.98,1,78.23
East,285.93,4,73.57
North,771.18,7,109.14
North,404.09,4,103.26
South,154.84,3,47.12
West,104.18,1,102.89
South,63.71,2,31.91
South,289.56,5,55.1
East,307.05,5,61.98
East,67.31,1,54.72
West,216.21,2,111.69
South,433.03,6,72.2
East,337.82,8,41.25
East,319.86,5,62.73
South,217.13,6,37.38
West,809.53,9,89.04
North,172.96,2,86.72
South,366.82,5,71.05
East,44.97,1,47.23
South,312.94,6,50.08
North,352.94,7,50.21
North,84.95,1,82.61
East,575.75,8,72.97
West,721.94,9,79.58
South,85.01,2,39.34
East,405.64,5,82.69
East,274.35,3,89.69
South,285.23,5,56.77
West,267.11,2,134.52
North,698.3,7,99.22
East,233.99,5,46.73
East,58.69,1,50.45
West,1116.96,8,138.98
South,245.15,4,61.81
West,842.96,6,139.6
West,941.14,8,118.33
West,901.79,5,178.67
East,493.73,7,70.77
West,118.25,1,111.0
East,215.05,5,43.39
East,449.96,6,74.29
North,198.29,2,99.92
South,73.27,1,71.23
West,1183.8,9,131.36
South,69.23,1,71.75
South,805.75,8,99.47
North,133.22,2,71.22
North,618.27,7,87.59
East,227.06,5,45.84
East,484.81,8,60.69
South,210.91,5,43.62
South,55.62,1,65.0
West,402.09,4,100.0
North,217.65,3,68.62
South,428.39,6,72.21
East,481.45,3,161.04
North,391.14,7,56.19
West,334.69,4,84.97
East,444.5,8,55.96
East,90.2,2,45.72
East,229.68,5,47.08
East,1163.64,9,130.11
East,196.24,3,61.32
West,919.49,8,115.21
South,364.44,6,62.08
North,489.67,5,95.87
North,318.51,4,78.1
South,114.73,2,51.17
East,181.14,3,58.17
South,270.47,4,69.71
East,190.51,3,63.93
West,714.4,7,100.64
East,362.37,5,72.47
West,989.09,9,109.67
East,353.75,7,50.41
South,115.74,2,54.5
South,253.06,4,62.04
East,372.94,8,44.88
East,324.2,7,45.44
East,165.22,3,50.88
West,181.35,3,60.01
East,573.28,8,70.78
East,355.97,5,68.51
South,76.47,1,71.18
West,2038.6,6,341.43
West,288.24,2,138.3
East,533.56,7,75.11
West,381.15,4,94.82
East,349.24,6,59.23
North,853.39,4,211.34
West,290.88,3,94.94
West,970.38,10,96.48
West,747.08,8,93.93
West,480.64,8,60.59
West,826.67,9,92.87
East,387.0,6,64.16
South,229.82,6,36.39
South,674.79,6,113.11
West,229.68,2,113.1
West,644.51,6,109.04
West,1325.33,10,132.48
North,301.05,3,97.89
West,849.03,10,84.33
West,534.76,5,105.83
East,85.21,2,44.13
East,635.12,7,88.91
South,175.51,3,59.66
South,257.67,5,51.82
East,150.57,3,47.25
West,719.38,8,90.65
West,136.24,1,127.35
East,340.57,7,48.38
North,218.34,2,105.35
West,2130.69,11,193.74
East,69.79,1,66.51
West,1286.86,10,127.54
East,111.3,2,53.35
West,460.8,4,114.02
East,160.87,3,56.87
East,296.4,7,43.4
West,378.6,5,77.55
West,656.39,10,64.55
North,521.84,6,88.28
West,895.42,10,90.08
East,259.45,5,49.21
West,676.41,5,133.82
South,185.83,3,64.66
South,138.15,3,47.23
South,51.22,1,38.01
West,597.76,8,74.28
West,226.13,2,109.12
East,208.72,5,43.65
West,118.85,1,112.23
East,527.88,7,75.0
North,325.95,4,79.44
South,538.19,6,90.86
West,836.0,6,139.33
West,284.75,2,136.71
East,404.72,5,82.06
East,236.59,4,59.21
East,601.34,8,74.44
South,408.07,4,101.46
East,349.27,5,67.03
South,231.34,2,115.6
East,593.28,8,72.69
West,468.04,4,119.28
East,586.98,8,72.69
East,63.69,1,72.44
East,648.32,8,79.68
East,171.72,2,80.87
East,572.44,7,80.22
South,52.49,1,48.09
East,332.11,4,81.82
East,132.32,3,46.04
West,283.82,4,73.2
East,566.98,7,82.37
West,189.2,3,60.51
West,656.75,8,82.7
West,707.31,7,101.85
South,354.74,6,56.83
West,739.6,6,122.61
East,190.23,2,89.33
North,328.28,4,80.45
East,163.28,3,49.69
West,439.59,3,146.24
East,1970.35,10,197.64
East,139.54,2,65.75
West,356.78,4,86.08
East,190.48,4,45.51
North,504.17,3,163.97
East,690.46,8,86.39
West,448.24,6,75.53
East,67.39,1,74.61
West,558.14,6,93.46
East,243.01,3,79.73
East,480.05,8,60.58
West,105.42,1,97.02
